gene,degreeCentrality
PPP2R1A,0.06060606060606061
PDGFRA,0.16666666666666669
ACVR1B,0.045454545454545456
SMAD4,0.09090909090909091
CDKN1B,0.10606060606060606
CDKN1A,0.12121212121212122
ATM,0.07575757575757576
SF3B1,0.045454545454545456
SMAD2,0.07575757575757576
CTNNB1,0.10606060606060606
AKT1,0.10606060606060606
USP9X,0.015151515151515152
SOX9,0.015151515151515152
ATR,0.10606060606060606
MAP2K4,0.030303030303030304
SOX17,0.015151515151515152
NCOR1,0.10606060606060606
CEBPA,0.030303030303030304
AXIN2,0.015151515151515152
U2AF1,0.045454545454545456
PIK3CA,0.16666666666666669
SMC3,0.07575757575757576
MAP3K1,0.030303030303030304
NRAS,0.13636363636363635
RB1,0.045454545454545456
PIK3CG,0.06060606060606061
CDKN2A,0.07575757575757576
RPL22,0.045454545454545456
PIK3R1,0.16666666666666669
PCBP1,0.045454545454545456
CDH1,0.015151515151515152
CHEK2,0.030303030303030304
ERCC2,0.030303030303030304
SIN3A,0.030303030303030304
BRCA1,0.12121212121212122
TGFBR2,0.030303030303030304
RPL5,0.045454545454545456
NF1,0.030303030303030304
ERBB4,0.16666666666666669
RAD21,0.07575757575757576
STAG2,0.07575757575757576
EGFR,0.16666666666666669
TLR4,0.045454545454545456
BRCA2,0.045454545454545456
MTOR,0.045454545454545456
EP300,0.10606060606060606
FGFR2,0.16666666666666669
FGFR3,0.16666666666666669
DNMT3A,0.030303030303030304
KRAS,0.13636363636363635
TP53,0.07575757575757576
TBL1XR1,0.06060606060606061
TAF1,0.015151515151515152
CCND1,0.09090909090909091
AJUBA,0.015151515151515152
PTPN11,0.16666666666666669
NOTCH1,0.06060606060606061
KIT,0.16666666666666669
PTEN,0.06060606060606061
SMC1A,0.12121212121212122
EZH2,0.015151515151515152
BRAF,0.12121212121212122
CDKN2C,0.06060606060606061
APC,0.015151515151515152
FBXW7,0.030303030303030304
ACVR2A,0.045454545454545456
EIF4A2,0.030303030303030304
