katzCentrality,gene
0.02899509106265477,PPP2R1A
0.315762343829505,PDGFRA
0.0013062671346279926,ACVR1B
0.004544682442262963,SMAD4
0.010310773958549332,CDKN1B
0.011088412928603951,CDKN1A
0.0036850566844963215,RPL5
0.0004139921998751195,SF3B1
0.004478397030375398,SMAD2
0.00805575043426187,CTNNB1
0.06510864717195708,AKT1
0.0007170954454414308,USP9X
0.0010746999321823917,SOX9
0.0008062404687986379,ATR
0.003530488648869994,MAP2K4
0.06728294157681655,PIK3CG
0.03314382860368904,NCOR1
0.0013863925794028473,ATM
0.004252819201786685,CEBPA
0.0010746999321823913,AXIN2
0.0004139921998751195,U2AF1
0.2654786282758252,PIK3CA
0.0006259362557410495,SMC3
0.0035304886488699934,MAP3K1
0.2484208677835425,NRAS
0.0027916451643356095,RB1
0.0010746999321823915,SOX17
0.0036850566844963215,RPL22
0.2654786282758252,PIK3R1
0.0004139921998751195,PCBP1
0.0010746999321823917,CDH1
0.0004820763184155849,CHEK2
0.0009124569268111365,ERCC2
0.001173223004098556,TGFBR2
0.0016116934595783168,SIN3A
0.0008508016601024646,BRCA1
0.0031964039379136374,CDKN2C
0.0039740429079682575,CDKN2A
0.050857860422927045,NF1
0.2937195831898135,ERBB4
0.0006259362557410493,RAD21
0.0006259362557410495,STAG2
0.31576234382950497,EGFR
0.0005641924180444008,BRCA2
0.009065094069338031,MTOR
0.006115649009604468,EP300
0.31576234382950497,FGFR2
0.31576234382950497,FGFR3
0.0006447045032147251,DNMT3A
0.24842086778354244,KRAS
0.008412731364931529,TP53
0.004915382408876942,TBL1XR1
0.0003471509886150368,TAF1
0.003514046246969244,CCND1
0.0032073849656748805,AJUBA
0.27160901739198384,PTPN11
0.0048935506168917165,NOTCH1
0.315762343829505,KIT
0.06204219969858858,PTEN
0.0007407395653760842,SMC1A
0.000319880235604261,EZH2
0.24157635314499426,BRAF
0.02863693117985274,TLR4
0.0010746999321823913,APC
0.0013755105929019423,FBXW7
0.0013062671346279928,ACVR2A
0.0010048673651757382,EIF4A2
