degreeCentrality,gene
0.07575757575757576,CDKN2A
0.13636363636363635,NRAS
0.07575757575757576,TP53
0.07575757575757576,STAG2
0.07575757575757576,RAD21
0.07575757575757576,SMC3
0.045454545454545456,BRCA2
0.10606060606060606,CTNNB1
0.10606060606060606,CDKN1B
0.045454545454545456,RPL22
0.015151515151515152,APC
0.045454545454545456,RPL5
0.16666666666666669,ERBB4
0.09090909090909091,CCND1
0.16666666666666669,PIK3CA
0.045454545454545456,TLR4
0.015151515151515152,SOX9
0.06060606060606061,NOTCH1
0.030303030303030304,DNMT3A
0.030303030303030304,CEBPA
0.06060606060606061,PIK3CG
0.07575757575757576,ATM
0.045454545454545456,RB1
0.045454545454545456,SF3B1
0.07575757575757576,SMAD2
0.16666666666666669,FGFR3
0.045454545454545456,U2AF1
0.09090909090909091,SMAD4
0.030303030303030304,TGFBR2
0.16666666666666669,PDGFRA
0.045454545454545456,ACVR1B
0.16666666666666669,EGFR
0.06060606060606061,CDKN2C
0.16666666666666669,PIK3R1
0.030303030303030304,NF1
0.06060606060606061,TBL1XR1
0.16666666666666669,FGFR2
0.06060606060606061,PPP2R1A
0.16666666666666669,PTPN11
0.015151515151515152,USP9X
0.16666666666666669,KIT
0.015151515151515152,TAF1
0.015151515151515152,SOX17
0.12121212121212122,CDKN1A
0.12121212121212122,SMC1A
0.10606060606060606,EP300
0.10606060606060606,ATR
0.015151515151515152,EZH2
0.030303030303030304,SIN3A
0.12121212121212122,BRAF
0.13636363636363635,KRAS
0.015151515151515152,AJUBA
0.10606060606060606,NCOR1
0.045454545454545456,ACVR2A
0.045454545454545456,PCBP1
0.030303030303030304,MAP2K4
0.06060606060606061,PTEN
0.030303030303030304,ERCC2
0.015151515151515152,CDH1
0.030303030303030304,EIF4A2
0.12121212121212122,BRCA1
0.045454545454545456,MTOR
0.030303030303030304,FBXW7
0.015151515151515152,AXIN2
0.030303030303030304,MAP3K1
0.030303030303030304,CHEK2
0.10606060606060606,AKT1
