pageRank,gene
0.015705714608123294,CDKN2A
0.017721806631565612,NRAS
0.014826841612527453,STAG2
0.014449345994164732,RPL5
0.00991515477906952,BRCA2
0.03670746225670975,CTNNB1
0.02123891902353543,CDKN1B
0.014449345994164732,RPL22
0.006697757463516885,APC
0.014826841612527453,RAD21
0.02161604339592202,ERBB4
0.012038914430704158,ERCC2
0.022398497545752637,PIK3CA
0.012777606458308551,TLR4
0.006697757463516885,SOX9
0.016045307786196283,NOTCH1
0.009828781518629903,MTOR
0.008794025845216324,CEBPA
0.010420920870907652,PIK3CG
0.010189727609328167,MAP3K1
0.015894299795637327,ATM
0.011103211381266328,SF3B1
0.019721536310895446,SMAD2
0.02056739044920549,FGFR3
0.011103211381266328,U2AF1
0.02445768931606459,SMAD4
0.005703767071960592,USP9X
0.02056739044920549,PDGFRA
0.012637225541243266,ACVR1B
0.02056739044920549,EGFR
0.005923586328381695,AJUBA
0.022398497545752634,PIK3R1
0.005586087545006022,NF1
0.0157274345267127,TBL1XR1
0.02056739044920549,FGFR2
0.020383580596316692,ATR
0.017339732270817084,PPP2R1A
0.024298704657751895,PTPN11
0.009056549438646196,TGFBR2
0.020567390449205487,KIT
0.007356250585791351,TAF1
0.006697757463516885,SOX17
0.02397993451492628,CDKN1A
0.02421255247007345,SMC1A
0.006697757463516885,CDH1
0.012920261146958933,CDKN2C
0.006913931018589156,EZH2
0.008291018348488104,SIN3A
0.01520238022510366,BRAF
0.01772180663156561,KRAS
0.014826841612527451,SMC3
0.02476473768850136,NCOR1
0.012637225541243266,ACVR2A
0.029221354807973696,EP300
0.009196539733116509,FBXW7
0.010189727609328165,MAP2K4
0.010624639706371359,PTEN
0.02036074954166961,CCND1
0.010250277520912865,RB1
0.010427038480988795,EIF4A2
0.023521574542234334,BRCA1
0.0159400211337461,TP53
0.011103211381266328,PCBP1
0.006697757463516885,AXIN2
0.011000152696990473,DNMT3A
0.00744000219406905,CHEK2
0.020285659622879586,AKT1
