gene,eigenvectorCentrality
CDKN2A,0.0034402690002562847
NRAS,0.24844808337093308
TP53,0.007929472216257175
STAG2,4.5764727587076726e-05
RAD21,4.5764727587076726e-05
BRCA2,0.0001181901354779313
CTNNB1,0.00755262332709746
CDKN1B,0.009706939991160162
RPL22,0.003331589090315874
APC,0.0007700269776279483
RPL5,0.003331589090315874
ERBB4,0.293753884868974
CCND1,0.002952744730464475
PIK3CA,0.26543209280537416
TLR4,0.028346449371080974
SOX9,0.0007700269776279483
NOTCH1,0.004457089074637527
DNMT3A,0.00030436337783514017
CEBPA,0.0038961566470386145
PIK3CG,0.0670110093345196
ATM,0.0008616333011301724
RB1,0.0023556471266747677
SF3B1,7.225937265702335e-06
SMAD2,0.004011631970377538
FGFR3,0.3158619186590815
U2AF1,7.225937265702335e-06
SMAD4,0.004049832711243248
USP9X,0.000412888774327218
PDGFRA,0.3158619186590815
ACVR1B,0.0009151902424660831
EGFR,0.3158619186590815
CDKN2C,0.0027065413144007665
PIK3R1,0.26543209280537416
NF1,0.0506588370614705
TBL1XR1,0.004479591518120934
FGFR2,0.3158619186590815
PPP2R1A,0.0286675754360837
SOX17,0.0007700269776279483
PTPN11,0.271604997996086
TGFBR2,0.0008218827167842254
KIT,0.3158619186590815
TAF1,5.850138941082683e-05
SMC3,4.5764727587076726e-05
CDKN1A,0.01044066767701568
SMC1A,4.8121282888692264e-05
EP300,0.0055694280202635525
ATR,0.0001368532789365147
EZH2,3.1061008281258606e-05
SIN3A,0.0012652632811846374
BRAF,0.24161876978303684
KRAS,0.24844808337093308
AJUBA,0.0029226756071801213
NCOR1,0.03264643280899223
ACVR2A,0.0009151902424660831
PCBP1,7.225937265702335e-06
MAP2K4,0.0032180149508805223
PTEN,0.061762412233187076
ERCC2,0.0005737874752192627
CDH1,0.0007700269776279483
EIF4A2,0.0006793142915729587
BRCA1,0.00014656875873323758
MTOR,0.008646702188696063
FBXW7,0.0010222345903126973
AXIN2,0.0007700269776279483
MAP3K1,0.0032180149508805223
CHEK2,0.0001036781781049725
AKT1,0.06465997702058236
